"Quantity","LCSC Part Number","Value","Footprint"
"9","C28233","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"3","C15850","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"1","C2843785","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm"
"10","C17630","330","R_0805_2012Metric"
"10","C17673","4k7","R_0805_2012Metric"
"2","C2689405","USR_BTN","SW_SPST_PTS645"
"8","C5184834","PJ-242","PJ-242"
